timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti
2025-11-15 19:14:18.429248,1,Malavalle Vedr DI Uebeltalf,val,1.6563125,5.7593303,23,0.25040567,403.6755,504.0,0.8009435,1.9696951,20,0.098484755,17.101183,162.0,0.10556286,4.527284,20,0.22636421,74.87264,162.0,0.4621768,1.8941703e-06
2025-11-15 19:14:25.718544,1,Ries Occ Vedr DI Rieserf Westl,val,0.94271636,2.949586,16,0.18434912,95.96519,287.18103,0.33416268,2.2916062,13,0.1762774,10.357064,95.38864,0.10857755,1.888761,13,0.14528932,23.713562,96.0,0.24701628,1.8941703e-06
2025-11-15 19:14:26.976360,1,Kessjen,val,0.7831459,0.48431674,1,0.48431674,0,0,,0.09002257,1,0.09002257,0,0,,0.99194866,1,0.99194866,0,0,,1.8941703e-06
2025-11-15 19:14:32.368635,1,Grand Etret,val,1.1440388,2.8354268,9,0.3150474,11.7551365,22.0,0.5343244,1.0868678,7,0.15526684,5.044019,19.0,0.2654747,1.527129,7,0.2181613,0,0,,1.8941703e-06
2025-11-15 19:14:44.971925,1,Maladeta,val,3.4704263,99.87766,28,3.5670595,0,0,,82.26748,27,3.0469437,0,0,,8.824837,27,0.3268458,0,0,,1.8941703e-06
2025-11-15 19:15:00.362312,2,Bruarjokull,train,17.22073,89.41702,30,2.9805677,1875.1108,232.70856,8.057765,0.27127206,19,0.014277477,297.8527,242.56241,1.2279425,61.33768,20,3.066884,1227.29,250.25516,4.9041553,1.8941703e-06
2025-11-15 19:16:10.426161,2,Langjokull ice cap,train,7.9501367,45.808586,27,1.6966143,840.553,353.08533,2.3805945,8.217895,26,0.31607288,228.77612,420.39786,0.5441896,80.74654,26,3.1056361,1055.6511,428.04953,2.4661891,1.8941703e-06
2025-11-15 19:16:33.969818,2,Tungnaarjokull,train,18.467081,77.06257,28,2.7522347,390.71616,44.60918,8.758649,0.7936531,19,0.041771214,21.625114,61.96137,0.34900963,57.19809,20,2.8599045,423.27118,64.79501,6.5324655,1.8941703e-06
2025-11-15 19:17:07.935258,2,Nordenskioeldbreen,train,2.3785908,6.2679367,13,0.482149,106.6947,90.0,1.1854967,0.3258476,13,0.0250652,6.585009,86.52905,0.07610171,3.973113,13,0.3056241,59.39749,83.59117,0.7105714,1.8941703e-06
2025-11-15 19:18:12.016794,2,Koldukvislarj,train,13.957706,88.02104,30,2.9340348,721.2149,124.05041,5.813886,0.8893179,21,0.042348474,25.54639,130.0806,0.19638894,72.2855,22,3.2857046,633.20966,131.4699,4.8163853,1.8941703e-06
2025-11-15 19:19:17.360002,2,Hofsjoekull E,train,9.572545,29.539715,30,0.9846572,482.95514,126.62928,3.8139296,6.8338547,30,0.22779517,83.18193,133.44992,0.62331945,57.480423,30,1.9160142,466.45898,130.62196,3.571061,1.8941703e-06
2025-11-15 19:19:32.368176,2,Eyjabakkajokull,train,10.83185,61.343437,27,2.271979,331.46814,77.28858,4.2887077,2.187425,19,0.11512763,34.28265,84.920746,0.4037017,58.505127,20,2.9252565,303.20245,87.04567,3.4832573,1.8941703e-06
2025-11-15 19:19:46.498786,2,Corbassiere,train,2.8696105,17.512035,28,0.62542987,381.55222,177.60979,2.1482613,0.52580297,22,0.023900136,0,0,,17.45403,22,0.793365,0,0,,1.8941703e-06
2025-11-15 19:20:26.808413,2,Rhone,train,2.4119134,1.8718365,18,0.10399092,311.6391,191.19017,1.6299955,5.9638557,18,0.33132532,2768.2231,6514.338,0.42494312,5.0153303,18,0.27862945,0,0,,1.8941703e-06
2025-11-15 19:20:43.317430,2,Svelgjabreen,train,3.7993793,12.512304,10,1.2512305,71.284645,52.0,1.3708587,6.9030657,10,0.6903066,39.48941,51.0,0.7743022,2.387316,10,0.23873161,29.896353,53.0,0.56408215,1.8941703e-06
2025-11-15 19:20:51.333511,2,Blomstoelskardsbreen,train,4.1014514,12.479084,10,1.2479085,87.263245,56.0,1.5582722,8.072128,10,0.8072128,49.755997,54.0,0.92140734,2.5767326,10,0.25767326,26.060856,56.0,0.46537244,1.8941703e-06
2025-11-15 19:21:09.831536,2,Werenskioldbreen,train,6.663737,10.4989395,5,2.099788,39.243065,20.0,1.9621533,0.045291316,3,0.015097106,0.36584592,13.0,0.028141994,5.3591595,3,1.7863865,29.95084,11.0,2.7228038,1.8941703e-06
2025-11-15 19:22:18.381052,2,Engabreen,train,5.436703,22.13415,30,0.737805,354.70062,141.64978,2.5040677,30.210663,29,1.041747,206.55774,140.70285,1.4680423,6.6507983,29,0.22933787,64.17239,139.46088,0.46014622,1.8941703e-06
2025-11-15 19:22:25.768428,2,Groenfjord E,train,1.5278944,4.1793914,9,0.46437684,57.46365,90.0,0.638485,0.7158419,6,0.11930698,11.360029,75.0,0.15146706,5.353181,6,0.89219683,0,0,,1.8941703e-06
2025-11-15 19:23:14.104169,2,Findelen,train,12.935625,24.451672,20,1.2225837,1411.6426,246.68,5.7225657,0.20374039,17,0.011984729,14.597575,164.76926,0.08859405,20.227577,17,1.1898575,506.56155,85.679985,5.912251,1.8941703e-06
2025-11-15 19:23:19.209763,2,Hintereis F,train,3.6518402,9.780334,30,0.32601118,921.3085,421.4358,2.1861181,3.0164495,12,0.2513708,82.27335,249.73973,0.3294364,10.542076,12,0.87850636,0.38861272,0.9516897,0.40833974,1.8941703e-06
2025-11-15 19:23:30.230784,2,Austre Okstindbreen,train,0.3434693,0.6309326,2,0.3154663,0,0,,0.56203264,2,0.28101632,0,0,,0.18090427,2,0.090452135,0,0,,1.8941703e-06
2025-11-15 19:23:44.968101,2,Allalin,train,7.879273,70.27719,30,2.3425732,645.4782,190.9511,3.3803325,6.134414,27,0.22720052,0.13112555,4.03447,0.03250131,41.22026,27,1.5266763,9.67285,4.0,2.4182124,1.8941703e-06
2025-11-15 19:23:53.004309,2,Austre Broeggerbreen,train,1.231219,14.91271,12,1.2427258,0,0,,0.12000808,9,0.013334231,0,0,,10.857367,9,1.206374,0,0,,1.8941703e-06
2025-11-15 19:24:37.170924,2,Tsanfleuron,train,5.6017876,12.624045,15,0.84160304,60.635853,64.460754,0.9406631,11.09625,15,0.73975,13.264398,39.03868,0.33977577,33.806664,15,2.2537777,45.67185,19.0,2.4037814,1.8941703e-06
2025-11-15 19:25:49.098279,2,Claridenfirn,train,2.0845244,8.373892,30,0.27912974,38.941513,60.92034,0.63922024,7.278418,30,0.24261394,47.719994,66.71619,0.7152686,20.881258,30,0.69604194,4.5072513,37.20673,0.12114075,1.8941703e-06
2025-11-15 19:25:53.162643,2,Austre Lovenbreen,train,1.1355081,8.417939,17,0.4951729,301.4676,555.0856,0.5431011,0.5460349,17,0.0321197,0,0,,11.177796,17,0.65751743,0,0,,1.8941703e-06
2025-11-15 19:26:01.857669,2,Vernagt F,train,3.2897053,19.071714,30,0.6357238,731.3237,285.5903,2.5607443,0.5708997,29,0.019686198,7.719348,239.0,0.032298528,21.399406,29,0.73791057,0,0,,1.8941703e-06
2025-11-15 19:27:08.036101,2,Langfjordjoekelen,train,4.2637086,43.72636,28,1.5616558,198.12889,124.0,1.5978136,35.96904,27,1.3321867,102.21089,110.95238,0.9212141,2.2370844,27,0.08285498,28.953089,112.95238,0.25633004,1.8941703e-06
2025-11-15 19:27:22.061682,2,Hohlaub,train,4.4933662,47.88795,30,1.5962651,69.26187,27.000008,2.5652537,2.3520281,30,0.07840094,14.692856,42.0,0.3498299,44.456852,30,1.4818951,0,0,,1.8941703e-06
2025-11-15 19:27:33.393316,2,Gebroulaz,train,0.6414879,7.127465,29,0.24577464,215.92426,416.361,0.5185987,0,0,,0,0,,0,0,,0,0,,1.8941703e-06
2025-11-15 19:27:41.252333,2,Midtre Lovenbreen,train,0.35335004,3.7139368,12,0.30949473,0,0,,0.17155647,12,0.014296373,0,0,,4.594862,12,0.3829052,0,0,,1.8941703e-06
2025-11-15 19:28:14.466037,2,Graafjellsbrea,train,1.9133215,1.794841,11,0.16316737,37.739544,42.0,0.8985606,1.1295159,10,0.11295159,9.437737,40.731003,0.23170894,2.6799533,10,0.26799533,20.813251,40.731003,0.5109928,1.8941703e-06
2025-11-15 19:29:24.063812,2,Storbreen,train,0.8971726,29.305777,30,0.9768593,0,0,,13.659219,29,0.47100756,0,0,,10.047761,29,0.34647453,0,0,,1.8941703e-06
2025-11-15 19:29:47.092256,2,Svenbreen,train,2.3641748,7.413143,8,0.9266429,199.03842,180.0,1.105769,0,0,,0.51952136,28.0,0.018554335,0,0,,21.742783,28.0,0.776528,1.8941703e-06
2025-11-15 19:30:43.835366,2,Silvretta,train,0.86866033,4.28848,30,0.14294933,79.2873,262.07605,0.30253547,7.531115,29,0.25969362,47.038807,205.30887,0.2291124,7.869967,29,0.27137816,0,0,,1.8941703e-06
2025-11-15 19:30:46.140097,2,Storsteinsfjellbreen,train,1.6012673,0.07519767,1,0.07519767,2.0477397,6.0562735,0.33811876,0.15373753,1,0.15373753,3.6718254,7.0,0.5245465,0.44397673,1,0.44397673,1.8942742,4.710435,0.40214422,1.8941703e-06
